id,source_document,source_page_number,primary_law_act,topic,chunk_text,keywords
1,"Labour Act.pdf",3,"General Labour Law Introduction","Definition and Scope","Labour law, also known as employment law, is the body of laws, administrative rulings, and precedents which address the legal rights of, and restrictions on, working people and their organizations. It mediates many aspects of the relationship between trade unions, employers and employees, defining the rights and obligations of all parties in the workplace.","labour law, employment law, rights, restrictions, trade unions, employers, employees"
2,"Labour Act.pdf",3,"General Labour Law Introduction","Coverage Areas","Generally, labour law covers: Industrial relations (certification of unions, labour-management relations, collective bargaining, unfair labour practices), workplace health and safety, and employment standards (general holidays, annual leave, working hours, unfair dismissals, minimum wage, layoff procedures, severance pay).","industrial relations, health, safety, employment standards, minimum wage, collective bargaining"
3,"Labour Act.pdf",3,"General Labour Law Introduction","Categories of Labour Law","There are two broad categories of labour law. First, collective labour law relates to the tripartite relationship between employee, employer and union. Second, individual labour law concerns employees' rights at work and through the contract for work.","collective labour law, individual labour law, employee, employer, union, contract"
4,"Labour Act.pdf",3,"History of Labour Law","Origins","Labour law arose due to the demands of workers for better conditions, the right to organize, and the simultaneous demands of employers to restrict worker powers and keep labour costs low. The state of labour law is a product of struggles between different interests in society.","history, worker demands, employer costs, trade unions, organizing, better conditions"
5,"Labour Act.pdf",3,"History of Labour Law","International Labour Organisation (ILO) Formation","The International Labour Organisation (ILO) was one of the first organisations to deal with labour issues. It was established as an agency of the League of Nations following the Treaty of Versailles, which ended World War I, to address post-war reconstruction and the protection of labour unions.","ILO, International Labour Organisation, League of Nations, Treaty of Versailles, World War I"
6,"Labour Act.pdf",5,"General Labour Law Introduction","Purpose of Labour Legislation","Labour legislation fulfills three crucial roles: 1) it establishes a legal system for productive employment relationships; 2) it provides a framework for harmonious industrial relations based on workplace democracy; 3) it guarantees fundamental principles and rights at work and establishes processes for their implementation and enforcement.","purpose, legal system, industrial relations, workplace democracy, fundamental rights"
7,"Labour Act.pdf",6,"History of Labour Law","Evolution in India","The history of labour legislation in India is interwoven with British colonialism. The industrial/labour legislations enacted by the British were primarily intended to protect the interests of the British employers. For example, the first Factories Act of 1883 was introduced due to pressure from British textile magnates to make Indian labour costlier, which stipulated eight-hour work days, abolished child labour, and introduced overtime wages.","evolution, India, British colonialism, Factories Act 1883, protectionism"
8,"Labour Act.pdf",6,"History of Labour Law","Post-Colonial Modifications","The original colonial legislation underwent substantial modifications post-independence. A tripartite conference in December 1947 established a partnership where labour would receive fair wages and conditions in return for cooperation in production. This led to the Industrial Disputes Act, 1947, which replaced the Trade Dispute Act, 1929.","post-colonial, independence, Industrial Disputes Act 1947, fair wage, tripartite conference"
9,"Labour Act.pdf",6,"Constitutional Provisions","Fundamental Rights and Directive Principles","The dignity of human labour and the need to protect workers' interests are enshrined in Chapter-III (Articles 16, 19, 23 & 24) and Chapter IV (Articles 39, 41, 42, 43, 43A & 54) of the Constitution of India, in line with Fundamental Rights and Directive Principles of State Policy.","constitution, fundamental rights, directive principles, articles 16, 19, 23, 24, 39, 41, 42, 43"
10,"Labour Act.pdf",7,"Constitutional Provisions","Concurrent Subject","Labour is a concurrent subject in the Constitution of India, meaning both the Union and state governments are competent to legislate on labour matters. The bulk of important legislative acts have been enacted by the Parliament. The Union List covers regulation in mines/oil fields and disputes concerning Union employees, while the Concurrent List covers trade unions, social security, and welfare of labour.","concurrent subject, union list, state government, legislate, parliament, social security"
11,"Labour Act.pdf",7,"Constitutional Provisions","Categorization of Legislations","Labour legislations can be categorized as follows: 1) Enacted by Central Government, solely enforced by Central Government. 2) Enacted by Central Government, enforced by both Central and State Governments. 3) Enacted by Central Government, enforced by State Governments. 4) Enacted and enforced by various State Governments for their respective States.","categorization, central government, state government, enforcement"
12,"Labour Act.pdf",8,"Labour Policy of India","Objectives and Highlights","Labour policy in India aims to maintain industrial peace and promote the welfare of labour. Policy highlights include creating new jobs, new social security schemes for the unorganized sector, model employee-employer relationships, long-term settlements based on productivity, and statutory amendments for expediting the mechanism of Labour Judiciary.","labour policy, industrial peace, welfare, social security, unorganized sector, productivity"
13,"Labour Act.pdf",27,"Classification of Labour Laws","By Subject Matter - Industrial Relations","Labour laws related to Industrial Relations include: The Trade Unions Act, 1926; The Industrial Employment Standing Order Act, 1946; and The Industrial Disputes Act, 1947.","classification, industrial relations, trade unions act, industrial disputes act"
14,"Labour Act.pdf",27,"Classification of Labour Laws","By Subject Matter - Wages","Labour laws related to Wages include: The Payment of Wages Act, 1936; The Minimum Wages Act, 1948; The Payment of Bonus Act, 1965; and The Working Journalists (Fixation of Rates of Wages Act), 1958.","classification, wages, payment of wages act, minimum wages act, payment of bonus act"
15,"Labour Act.pdf",27,"Classification of Labour Laws","By Subject Matter - Working Conditions","Labour laws related to Working Hours, Conditions of Service and Employment include: The Factories Act, 1948; The Plantation Labour Act, 1951; The Mines Act, 1952; The Contract Labour (Regulation & Abolition) Act, 1970; and others.","classification, working hours, conditions of service, factories act, mines act, contract labour act"
16,"Labour Act.pdf",28,"Classification of Labour Laws","By Subject Matter - Social Security & Disadvantaged Sections","Laws for Equality and Women include the Maternity Benefit Act, 1961 and Equal Remuneration Act, 1976. Laws for Deprived Sections include the Bonded Labour System (Abolition) Act, 1976 and Child Labour (Prohibition & Regulation) Act, 1986. Laws for Social Security include the Workmen's Compensation Act, 1923, Employees' State Insurance Act, 1948, and Employees' Provident Fund Act, 1952.","classification, social security, women, child labour, bonded labour, ESI, EPF, maternity benefit"
17,"Labour Act.pdf",29,"Apprentices Act, 1961","Purpose and Objective","The main purpose of the Apprentices Act, 1961 is to provide practical training to technically qualified persons, including engineers and diploma holders, in various trades to promote new skilled manpower. The Act applies to areas and industries as notified by the Central government.","Apprentices Act, purpose, objective, practical training, skilled manpower"
18,"Labour Act.pdf",29,"Apprentices Act, 1961","Obligation of Employer","Every employer is obligated to provide training to the apprentice in accordance with the Act, ensure qualified supervision, provide adequate instructional staff and facilities, and engage apprentices in the prescribed ratio of skilled workers. The employer must also pay stipends at prescribed rates.","Apprentices Act, employer obligation, training, supervision, stipend, ratio"
19,"Labour Act.pdf",30,"Apprentices Act, 1961","Obligation of Apprentice","Every trade apprentice has the obligation to learn their trade conscientiously, attend classes regularly, carry out lawful orders of the employer, and fulfill their obligations under the contract of apprenticeship.","Apprentices Act, apprentice obligation, learn, attend class, follow orders"
20,"Labour Act.pdf",30,"Apprentices Act, 1961","Eligibility and Duration","An apprentice must be a minimum of 14 years old and meet prescribed standards of education and physical fitness. The duration of apprenticeship training can range from 6 months to 4 years depending on the trade, as prescribed in the Apprenticeship Rules, 1991.","Apprentices Act, eligibility, age, duration, training period"
21,"Labour Act.pdf",30,"Apprentices Act, 1961","Contract of Apprenticeship","An apprentice must execute a contract of apprenticeship with the employer, which must be registered with the Apprenticeship Adviser. If the apprentice is a minor, the guardian must sign. The contract outlines terms, conditions, and leave entitlements (12 days casual, 15 days medical, 10 days extraordinary per year).","Apprentices Act, contract, registration, leave, minor"
